customer_id,longitude,latitude,store100_valuation,store200_valuation,store300_valuation,store400_valuation,store500_valuation,store600_valuation,store700_valuation,store800_valuation,store900_valuation,store1000_valuation
1,31.2517,29.9538,2.1,1.9,3.9,3.7,4.6,1.3,2.7,1.1,1.9,3.0
2,30.9146,29.9798,3.6,3.2,1.9,3.4,4.2,1.0,4.2,3.8,2.4,1.6
3,31.4265,30.0005,1.4,1.4,4.4,3.4,4.2,3.9,3.1,4.9,2.5,3.2
4,31.3562,30.0428,4.4,3.3,3.8,1.2,1.9,2.2,1.3,1.9,1.4,2.1
5,31.2496,30.0047,2.5,1.8,2.1,4.7,3.6,3.4,1.7,3.9,1.7,2.5
6,31.4442,30.046,3.2,3.7,4.4,4.1,1.9,1.1,2.3,2.1,1.8,4.8
7,31.382,29.9972,3.6,2.6,4.7,2.8,2.1,2.0,3.2,2.1,3.3,4.6
8,31.1197,29.9829,5.0,3.0,1.4,1.2,1.4,3.5,4.2,2.7,1.3,2.5
9,31.4479,30.0294,4.9,4.4,1.0,3.9,3.7,3.1,2.1,3.6,1.4,2.7
10,31.1495,30.0931,4.5,2.1,3.0,1.7,4.7,4.5,2.2,3.6,3.4,1.6
11,31.3194,30.0309,4.1,3.1,1.0,2.3,1.1,4.7,4.5,4.3,2.2,1.2
12,31.3829,30.092,1.3,2.9,1.3,4.0,4.1,1.5,2.9,3.2,2.1,4.5
13,31.1327,29.9818,3.2,3.9,1.8,2.2,5.0,3.6,2.8,3.1,1.5,1.9
14,31.0859,30.0382,1.9,1.9,1.3,3.5,1.9,4.6,4.4,1.3,2.0,3.7
15,31.0178,29.9698,4.7,3.3,2.9,4.1,4.2,1.8,1.4,2.7,2.7,2.9
16,31.301,30.051,4.9,1.4,2.6,2.4,4.4,2.0,1.8,2.8,2.7,2.1
17,31.0374,30.0885,2.8,4.4,3.2,1.2,5.0,4.3,4.9,4.7,4.4,1.7
18,31.1671,29.9821,2.6,1.2,2.5,4.9,2.1,4.1,2.8,2.7,4.8,5.0
19,31.2057,30.0578,1.6,2.2,4.9,3.3,3.2,4.0,1.2,3.3,3.0,4.4
20,30.9866,30.0941,1.3,1.7,3.4,3.7,1.9,1.5,4.6,2.0,3.4,3.5
21,31.1306,30.0376,3.1,4.7,1.8,3.9,2.0,2.6,3.7,2.2,2.3,4.0
22,30.9399,30.0187,5.0,5.0,1.3,1.9,2.1,4.7,4.5,4.5,2.5,1.6
23,31.3586,30.0555,3.4,4.9,3.6,1.0,4.3,2.2,3.7,4.8,1.5,1.5
24,30.9589,30.033,2.1,3.4,3.9,1.8,3.5,2.1,3.0,4.6,4.4,1.4
25,31.133,29.9915,1.0,4.1,3.5,2.0,4.0,3.2,2.7,1.0,1.3,4.5
26,31.3972,30.0318,4.3,3.3,1.6,1.5,2.2,4.6,4.2,4.4,4.6,1.8
27,31.0372,29.9654,4.1,4.5,2.6,3.5,1.6,4.7,4.5,4.9,4.2,4.5
28,30.9136,30.0605,2.3,4.7,4.2,4.5,4.2,2.1,4.1,1.4,4.5,4.4
29,31.0223,30.0725,2.8,2.2,4.2,1.9,1.1,1.8,2.3,4.5,4.9,2.1
30,31.2528,30.01,4.9,3.1,4.8,1.5,4.9,1.7,4.9,2.1,1.4,2.7
31,31.3007,29.9971,3.4,3.0,2.5,3.3,2.0,3.8,1.0,4.7,3.2,3.9
32,31.3081,30.0506,2.5,1.3,3.7,2.3,2.3,4.4,3.9,2.2,2.2,2.6
33,31.1213,29.9943,1.5,2.7,4.8,3.7,4.6,3.5,2.2,3.2,1.0,2.1
34,31.1364,30.037,3.6,2.9,2.8,1.9,2.9,4.6,4.2,1.7,1.3,3.1
35,31.2481,30.0003,4.3,4.0,3.7,1.9,1.8,1.1,2.0,2.9,4.4,1.3
36,31.1279,30.0445,1.8,3.8,3.0,2.0,3.6,1.0,4.0,4.1,1.4,2.7
37,30.9967,30.0937,3.1,1.2,2.0,4.4,2.8,4.2,3.7,5.0,3.4,4.8
38,31.3903,30.0419,3.9,3.0,4.3,3.2,4.6,4.0,2.9,2.0,2.0,3.6
39,31.3212,30.0282,3.5,2.1,1.3,2.1,2.1,2.3,3.2,1.6,1.9,3.8
40,31.2885,29.9596,2.6,3.2,2.7,1.8,2.7,4.6,3.3,3.8,4.4,4.1
41,31.1092,29.9509,2.4,4.0,4.4,4.8,2.7,4.0,3.2,3.4,1.9,1.9
42,31.1397,29.9544,2.3,3.7,2.6,1.7,2.9,1.5,3.5,1.1,2.6,3.3
43,30.9149,30.0464,1.5,2.8,1.2,2.5,1.8,2.3,4.0,2.5,4.0,4.3
44,31.0387,29.9623,1.1,3.2,5.0,2.4,3.6,4.1,3.6,4.0,4.8,1.8
45,30.9112,29.9729,1.5,3.7,3.3,1.9,3.8,4.1,1.7,3.4,4.0,1.5
46,31.3506,30.0947,1.4,1.1,2.2,3.7,4.8,2.6,3.9,1.3,3.8,3.5
47,30.956,30.0659,4.4,3.4,1.5,4.9,4.1,2.4,2.7,2.5,3.0,2.4
48,31.3673,30.0733,1.4,4.8,3.5,4.3,3.8,2.7,3.9,4.9,2.1,4.2
49,31.196,30.0225,2.7,3.9,2.1,4.4,4.3,1.3,4.5,2.0,2.9,3.4
50,31.1084,29.9543,4.4,1.7,1.8,4.2,2.4,4.5,3.8,2.1,1.0,4.8
