customer_id,longitude,latitude,store100_valuation,store200_valuation,store300_valuation,store400_valuation,store500_valuation,store600_valuation,store700_valuation,store800_valuation,store900_valuation,store1000_valuation,store1100_valuation,store1200_valuation,store1300_valuation,store1400_valuation,store1500_valuation,store1600_valuation,store1700_valuation,store1800_valuation,store1900_valuation,store2000_valuation,store2100_valuation,store2200_valuation,store2300_valuation,store2400_valuation,store2500_valuation,store2600_valuation,store2700_valuation,store2800_valuation,store2900_valuation,store3000_valuation
1,31.2517,29.9538,2.1,1.9,3.9,3.7,4.6,1.3,2.7,1.1,1.9,3.0,1.1,1.8,3.6,3.2,1.9,3.4,4.2,1.0,4.2,3.8,2.4,1.6,4.8,2.3,1.4,1.4,4.4,3.4,4.2,3.9
2,31.1949,30.096,2.5,3.2,4.3,3.5,4.4,3.3,3.8,1.2,1.9,2.2,1.3,1.9,1.4,2.1,3.5,2.5,2.5,1.8,2.1,4.7,3.6,3.4,1.7,3.9,1.7,2.5,5.0,3.6,3.2,3.7
3,31.3636,30.0664,1.9,1.1,2.3,2.1,1.8,4.8,4.5,2.3,3.6,2.6,4.7,2.8,2.1,2.0,3.2,2.1,3.3,4.6,2.6,1.9,5.0,3.0,1.4,1.2,1.4,3.5,4.2,2.7,1.3,2.5
4,31.4479,30.0294,4.9,4.4,1.0,3.9,3.7,3.1,2.1,3.6,1.4,2.7,2.8,4.8,4.5,2.1,3.0,1.7,4.7,4.5,2.2,3.6,3.4,1.6,4.1,3.2,4.1,3.1,1.0,2.3,1.1,4.7
5,31.3833,30.0747,2.2,1.2,4.5,4.8,1.3,2.9,1.3,4.0,4.1,1.5,2.9,3.2,2.1,4.5,2.7,1.8,3.2,3.9,1.8,2.2,5.0,3.6,2.8,3.1,1.5,1.9,2.4,3.4,1.9,1.9
6,30.939,30.0447,1.9,4.6,4.4,1.3,2.0,3.7,1.9,1.5,4.7,3.3,2.9,4.1,4.2,1.8,1.4,2.7,2.7,2.9,3.9,3.7,4.9,1.4,2.6,2.4,4.4,2.0,1.8,2.8,2.7,2.1
7,31.0374,30.0885,2.8,4.4,3.2,1.2,5.0,4.3,4.9,4.7,4.4,1.7,2.9,1.9,2.6,1.2,2.5,4.9,2.1,4.1,2.8,2.7,4.8,5.0,3.2,3.9,1.6,2.2,4.9,3.3,3.2,4.0
8,30.9314,30.0376,3.0,4.4,1.6,4.8,1.3,1.7,3.4,3.7,1.9,1.5,4.6,2.0,3.4,3.5,2.7,3.3,3.1,4.7,1.8,3.9,2.0,2.6,3.7,2.2,2.3,4.0,1.3,2.8,5.0,5.0
9,30.9403,29.982,2.1,4.7,4.5,4.5,2.5,1.6,4.3,3.8,3.4,4.9,3.6,1.0,4.3,2.2,3.7,4.8,1.5,1.5,1.4,3.2,2.1,3.4,3.9,1.8,3.5,2.1,3.0,4.6,4.4,1.4
10,31.133,29.9915,1.0,4.1,3.5,2.0,4.0,3.2,2.7,1.0,1.3,4.5,4.6,3.2,4.3,3.3,1.6,1.5,2.2,4.6,4.2,4.4,4.6,1.8,2.0,1.4,4.1,4.5,2.6,3.5,1.6,4.7
11,31.3755,30.0964,4.2,4.5,1.1,3.9,2.3,4.7,4.2,4.5,4.2,2.1,4.1,1.4,4.5,4.4,1.9,4.3,2.8,2.2,4.2,1.9,1.1,1.8,2.3,4.5,4.9,2.1,3.6,2.6,4.9,3.1
12,31.4166,29.9673,4.9,1.7,4.9,2.1,1.4,2.7,3.9,2.3,3.4,3.0,2.5,3.3,2.0,3.8,1.0,4.7,3.2,3.9,4.0,3.7,2.5,1.3,3.7,2.3,2.3,4.4,3.9,2.2,2.2,2.6
13,31.1213,29.9943,1.5,2.7,4.8,3.7,4.6,3.5,2.2,3.2,1.0,2.1,2.7,3.3,3.6,2.9,2.8,1.9,2.9,4.6,4.2,1.7,1.3,3.1,3.5,2.3,4.3,4.0,3.7,1.9,1.8,1.1
14,31.0347,30.0213,4.4,1.3,2.7,3.5,1.8,3.8,3.0,2.0,3.6,1.0,4.0,4.1,1.4,2.7,1.7,4.8,3.1,1.2,2.0,4.4,2.8,4.2,3.7,5.0,3.4,4.8,4.6,3.5,3.9,3.0
15,31.3568,30.0322,4.6,4.0,2.9,2.0,2.0,3.6,4.1,3.1,3.5,2.1,1.3,2.1,2.1,2.3,3.2,1.6,1.9,3.8,3.8,1.3,2.6,3.2,2.7,1.8,2.7,4.6,3.3,3.8,4.4,4.1
16,31.1092,29.9509,2.4,4.0,4.4,4.8,2.7,4.0,3.2,3.4,1.9,1.9,2.7,1.1,2.3,3.7,2.6,1.7,2.9,1.5,3.5,1.1,2.6,3.3,1.1,3.6,1.5,2.8,1.2,2.5,1.8,2.3
17,31.3187,30.0069,4.0,4.3,2.0,1.3,1.1,3.2,5.0,2.4,3.6,4.1,3.6,4.0,4.8,1.8,1.1,1.6,1.5,3.7,3.3,1.9,3.8,4.1,1.7,3.4,4.0,1.5,4.3,4.9,1.4,1.1
18,31.0716,30.0516,4.8,2.6,3.9,1.3,3.8,3.5,1.4,4.1,4.4,3.4,1.5,4.9,4.1,2.4,2.7,2.5,3.0,2.4,4.4,4.3,1.4,4.8,3.5,4.3,3.8,2.7,3.9,4.9,2.1,4.2
19,31.196,30.0225,2.7,3.9,2.1,4.4,4.3,1.3,4.5,2.0,2.9,3.4,2.5,1.1,4.4,1.7,1.8,4.2,2.4,4.5,3.8,2.1,1.0,4.8,1.3,3.9,3.0,4.0,3.8,3.6,3.0,4.2
20,30.9512,29.9832,3.8,2.2,3.3,2.9,3.1,2.7,4.0,2.3,3.8,2.1,2.0,1.5,1.8,1.5,3.1,4.0,1.7,1.9,2.9,3.9,4.9,3.1,2.1,1.4,1.8,1.9,1.7,1.1,3.1,2.1
21,31.4359,30.033,3.8,1.5,4.5,3.0,4.5,3.3,2.9,2.8,1.7,1.2,4.8,2.9,4.3,2.6,1.3,3.5,1.2,1.6,3.3,2.2,5.0,1.5,4.1,3.4,4.2,1.9,3.1,2.8,2.8,4.4
22,31.4445,29.9958,3.5,3.4,4.0,4.8,1.8,1.8,3.6,1.6,1.7,1.3,1.0,2.8,3.4,2.2,1.9,3.8,3.8,2.8,3.7,4.7,4.2,3.5,3.6,4.7,2.7,3.2,3.6,4.6,4.3,1.3
23,30.9913,29.9961,4.0,3.3,2.2,1.5,3.8,3.8,4.8,3.0,3.0,1.3,1.2,2.7,2.3,2.0,1.4,4.8,4.3,3.3,4.8,5.0,3.7,2.1,1.2,4.0,2.9,3.6,4.7,1.7,3.3,3.5
24,31.1704,29.9637,2.4,2.3,3.7,4.4,2.3,3.8,2.2,4.8,4.3,3.2,2.8,2.3,2.3,4.9,2.6,3.1,5.0,3.6,3.2,2.7,1.8,2.4,4.0,3.5,4.0,1.8,3.2,4.7,2.8,3.8
25,30.9668,30.096,3.4,2.0,1.6,3.2,3.2,1.4,5.0,4.7,2.8,1.5,4.3,3.0,3.9,3.0,2.1,4.3,4.9,2.0,3.2,2.5,4.7,3.0,4.5,4.5,2.1,4.2,2.7,4.7,3.0,4.3
26,31.0556,29.9948,3.3,5.0,3.0,1.6,3.2,2.4,3.2,3.2,2.8,2.3,1.8,3.8,3.3,1.9,4.1,1.2,4.0,3.8,4.2,2.5,3.7,4.3,4.9,3.0,1.1,3.0,3.4,4.5,4.5,2.8
27,31.1893,30.0185,3.9,2.6,3.6,1.6,2.9,4.9,2.4,3.8,3.6,4.4,4.4,4.4,2.5,2.3,3.9,4.0,4.5,1.1,1.3,3.5,4.7,5.0,4.0,2.7,1.4,3.5,4.5,2.8,3.8,4.6
