customer_id,longitude,latitude,store200_valuation,store210_valuation,store220_valuation,store230_valuation,store240_valuation,store250_valuation,store260_valuation,store270_valuation,store280_valuation,store290_valuation,store300_valuation,store310_valuation,store320_valuation,store330_valuation,store340_valuation
1,31.0373,29.996,4.9,4.4,0.0,0.0,2.2,3.3,2.2,3.7,3.7,1.3,0.0,2.1,0.0,0.0,4.6
2,31.1857,30.1372,2.8,3.9,0.0,0.0,4.0,4.0,4.1,4.2,1.9,2.4,2.7,0.0,2.1,1.8,4.4
3,31.2997,30.1129,1.8,3.6,0.0,0.0,1.5,0.0,4.5,4.5,0.0,4.0,3.7,4.3,3.7,4.0,3.7
4,31.1093,30.1851,2.9,2.8,2.5,4.5,1.4,2.1,0.0,4.3,2.4,2.4,0.0,3.5,3.4,1.2,1.4
5,31.2924,30.0421,1.5,4.4,0.0,3.2,1.3,3.9,2.4,3.6,2.3,1.9,3.0,2.6,2.5,0.0,4.2
6,31.324,30.0764,0.0,3.7,0.0,3.4,2.4,2.3,2.5,4.1,4.5,0.0,2.0,3.8,2.1,1.1,3.8
7,31.5016,30.1534,2.9,1.6,3.0,3.3,0.0,4.2,2.8,1.9,2.5,0.0,2.6,1.1,4.1,3.8,2.6
8,31.2469,29.9651,0.0,3.7,0.0,4.6,3.8,4.6,3.4,3.0,4.1,3.8,2.2,4.1,0.0,1.5,2.5
9,31.1794,30.0927,0.0,4.6,2.1,4.7,0.0,0.0,1.4,1.2,0.0,0.0,0.0,2.7,3.8,5.0,3.6
10,31.5714,29.9959,2.3,2.3,2.8,2.3,4.0,2.4,3.6,4.4,3.1,1.7,3.7,0.0,1.6,4.8,4.3
11,31.1352,30.1549,1.4,4.8,0.0,2.6,1.4,0.0,2.8,0.0,0.0,4.0,4.8,0.0,3.8,0.0,2.6
12,31.2613,30.1521,2.9,4.8,4.8,2.2,0.0,4.3,2.5,2.4,0.0,0.0,4.5,1.5,0.0,4.0,3.5
13,31.5388,29.9452,2.9,2.1,3.1,1.6,0.0,1.6,4.4,1.2,3.8,2.0,2.3,1.6,0.0,1.1,3.5
14,31.4404,29.9542,4.8,2.8,3.7,0.0,4.7,4.1,3.1,2.0,4.0,0.0,3.9,2.9,3.0,3.4,1.4
15,31.2569,30.0055,5.0,2.6,0.0,1.9,3.1,4.5,2.2,0.0,4.9,2.0,2.6,3.7,4.5,3.7,4.0
16,31.0221,30.1059,4.7,1.4,2.3,1.2,0.0,2.0,4.6,4.8,4.0,1.6,1.2,1.1,4.4,2.9,4.8
17,31.3725,29.9932,2.8,0.0,0.0,4.1,3.4,2.6,2.5,4.3,4.2,3.6,0.0,3.5,1.2,2.2,1.4
18,31.2455,30.0291,3.9,2.2,4.0,2.5,2.9,5.0,3.6,4.4,2.1,3.8,4.2,4.4,1.3,3.8,3.1
19,31.2689,30.0326,1.7,3.2,0.0,0.0,2.0,2.9,1.8,1.8,4.8,3.2,4.1,0.0,2.3,4.5,1.9
20,31.2074,30.0006,3.6,4.9,3.4,0.0,2.1,1.5,0.0,1.3,4.5,0.0,1.3,3.0,1.1,0.0,3.7
21,31.0192,29.9307,2.6,0.0,1.2,1.5,2.5,0.0,0.0,4.7,0.0,2.8,3.8,4.9,1.7,2.4,2.3
22,31.5445,29.9513,0.0,1.1,4.5,4.7,4.0,2.9,3.1,3.6,0.0,4.0,1.6,2.2,1.7,1.9,2.8
23,31.4451,30.0207,4.6,1.5,3.7,3.4,1.3,2.5,4.5,3.7,0.0,3.9,0.0,3.5,2.6,1.4,2.9
24,31.3665,29.9248,0.0,4.0,4.9,4.0,1.9,1.1,1.7,2.5,4.4,4.4,4.3,5.0,4.6,4.8,2.2
25,31.0246,30.1455,0.0,4.9,0.0,5.0,2.4,1.2,2.9,2.1,1.4,1.8,0.0,2.7,4.9,2.2,5.0
26,31.3218,29.9234,3.5,2.5,1.8,2.3,2.6,3.4,0.0,2.7,1.5,4.3,4.7,4.0,4.2,3.6,3.5
27,31.1563,30.1537,0.0,4.8,3.6,0.0,2.7,2.1,0.0,0.0,1.3,1.4,4.2,2.6,4.1,2.9,1.9
28,31.1322,30.1454,1.7,1.6,4.8,0.0,1.3,1.1,4.3,2.7,3.4,3.4,1.5,4.8,0.0,3.5,4.8
29,31.4116,29.9376,4.1,4.7,4.2,4.6,4.5,3.8,0.0,4.1,1.5,1.9,3.6,0.0,0.0,3.1,1.2
30,31.3979,30.1549,1.3,4.0,3.9,0.0,4.7,4.5,2.3,1.7,0.0,3.5,0.0,4.7,3.2,4.3,2.8
31,31.575,29.9938,2.9,1.5,4.9,1.8,4.5,0.0,3.6,3.0,2.2,0.0,4.7,0.0,2.3,0.0,1.1
32,31.3817,30.1388,0.0,3.4,4.0,0.0,0.0,3.3,1.9,4.5,1.5,0.0,4.8,0.0,3.1,4.4,0.0
33,31.5115,30.0762,1.3,0.0,2.1,2.8,3.9,4.9,2.0,3.0,4.8,1.6,2.5,3.5,0.0,4.7,1.4
34,31.0249,30.0176,4.4,2.1,3.9,3.5,1.4,2.4,4.8,0.0,0.0,3.9,4.1,3.6,0.0,3.5,4.3
35,31.0395,29.9569,2.8,3.9,0.0,1.7,0.0,4.1,4.3,4.6,1.5,3.0,0.0,2.8,2.5,2.4,4.3
36,31.4094,29.9717,1.2,3.4,4.3,3.7,4.7,0.0,3.3,1.5,1.0,4.6,0.0,4.8,4.0,0.0,3.4
37,31.423,30.054,0.0,2.9,3.8,2.8,0.0,1.8,2.3,4.6,0.0,1.3,2.2,5.0,4.7,0.0,2.9
38,31.0235,30.1645,4.0,1.2,2.1,0.0,3.1,0.0,0.0,2.5,4.3,1.5,3.0,0.0,2.6,2.8,1.3
39,31.5803,30.04,3.6,1.0,4.1,4.1,0.0,2.4,4.2,4.2,2.4,4.4,1.3,4.8,3.4,0.0,3.2
40,31.1261,30.0956,0.0,1.4,1.8,1.5,3.5,0.0,3.8,0.0,1.8,4.2,0.0,2.9,0.0,0.0,3.5
41,31.0227,30.0038,3.4,0.0,2.6,0.0,0.0,2.5,1.4,2.5,2.5,4.6,4.9,2.0,3.5,1.7,2.2
42,31.5166,30.0383,1.9,1.7,4.1,0.0,0.0,1.9,3.5,1.9,4.8,4.3,4.4,2.2,4.9,4.7,3.6
43,31.3581,30.0382,0.0,3.9,0.0,0.0,0.0,0.0,4.1,2.6,2.1,4.2,2.6,4.2,1.1,2.1,4.3
44,31.1734,30.1686,4.2,2.3,4.8,0.0,1.3,0.0,3.0,4.7,1.2,0.0,1.5,0.0,0.0,2.6,0.0
45,31.4081,29.9225,3.9,1.4,3.1,4.1,0.0,1.5,3.3,3.4,2.0,0.0,2.6,1.3,0.0,3.1,0.0
46,31.4504,29.9366,2.5,3.3,2.8,1.0,3.1,0.0,2.6,3.1,4.0,3.4,0.0,3.2,4.4,2.8,4.2
47,31.3293,30.0587,2.2,0.0,3.7,4.2,3.9,4.7,3.6,2.2,3.1,1.4,3.1,3.8,2.6,1.3,4.7
48,31.2451,30.1915,2.1,1.7,4.0,2.2,0.0,3.0,4.7,3.5,4.9,1.0,3.1,0.0,2.7,1.9,1.3
49,31.3922,29.9639,3.7,3.3,4.7,4.6,2.8,2.1,4.5,2.3,1.7,3.5,4.0,1.6,2.9,0.0,3.7
50,31.4624,30.0462,3.8,1.3,2.0,1.9,2.6,1.6,1.8,4.1,4.9,2.4,1.4,3.3,2.1,1.2,1.9
51,31.2351,30.1699,4.4,1.3,1.1,3.6,3.3,0.0,4.8,2.8,2.0,1.1,2.3,0.0,3.8,0.0,1.3
52,31.1825,30.114,2.3,0.0,3.5,2.8,2.5,4.2,3.5,3.1,4.7,1.9,4.0,4.2,2.0,4.2,1.6
53,31.5068,29.9439,4.0,4.7,2.2,1.6,2.7,3.6,2.9,0.0,1.8,2.4,4.3,0.0,2.3,4.5,1.8
54,31.214,29.9483,4.0,4.0,2.3,1.9,1.8,3.4,1.2,3.0,1.7,4.3,4.0,1.9,2.4,0.0,0.0
