store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
200,Zooba,Korba,9,3.4,50.11,31.5747,30.1885
210,Casper & Gambini's,City Stars,19,5.0,63.76,31.0911,30.1838
220,Bird Cage,Mall of Arabia,23,3.7,52.58,31.1698,29.9518
230,Mandarine Koueider,October Plaza,14,3.4,74.42,31.3257,29.9446
240,Sip Coffee,Garden City,29,1.9,18.69,31.5425,30.0153
250,Hard Rock Cafe,Dokki,11,3.5,60.66,31.3391,30.1532
260,The Greens,Americana Plaza,13,1.5,70.02,31.1611,30.1469
270,Kazaz,Rehab,11,1.1,29.8,31.1934,30.1414
280,Beano's,Zamalek,19,2.1,35.27,31.4761,30.0954
290,Nero Caffè,Korba,30,1.7,43.55,31.1151,29.9094
300,Brioche Dorée,Katameya,24,4.7,41.47,31.4404,30.1003
310,Pottery Cafe,Madinet Nasr,16,3.3,36.37,31.0546,30.1275
320,Coffee Republic,Garden City,21,4.2,47.31,31.3543,30.0187
330,Stage One,Heliopolis,25,4.0,50.83,31.3474,30.1239
340,Koffee Kulture,Mohandessin,28,1.5,45.77,31.4173,30.1798
